index,Open,High,Low,Close,Volume,Adj Close
2021-09-06,3.0,16.435,3.0,11.303,76368741.57,
2021-09-13,11.293,18.5,9.1,14.259,89394703.64,
2021-09-20,14.259,19.666,10.83,19.308,92099686.62,
2021-09-27,19.299,27.857,18.7,23.59,120845598.42,
2021-10-04,23.564,26.431,20.52,22.595,69885134.74,
2021-10-11,22.578,26.101,20.0,21.055,54858073.17,
2021-10-18,21.043,21.532,16.81,17.926,30946162.44,
2021-10-25,17.926,19.4,14.13,15.17,38020851.9,
2021-11-01,15.179,18.3,14.858,16.808,37356048.87,
2021-11-08,16.808,18.56,12.627,14.796,34947226.46,
2021-11-15,14.796,15.116,11.435,13.131,39436091.79,
2021-11-22,13.132,16.478,11.32,12.623,61553639.57,
2021-11-29,12.604,14.94,7.217,8.693,65267609.27,
2021-12-06,8.693,9.8,7.827,8.998,43474951.92,
2021-12-13,9.0,9.1,7.515,7.832,24870957.86,
2021-12-20,7.832,9.491,7.116,9.244,29441886.17,
2021-12-27,9.24,10.73,7.877,8.698,43970252.03,
2022-01-03,8.697,9.174,6.402,6.739,30474566.36,
2022-01-10,6.739,8.266,5.937,7.622,32330782.77,
2022-01-17,7.626,8.9,5.347,6.043,78989069.67,
2022-01-24,6.042,6.571,5.08,5.774,38426196.41,
2022-01-31,5.773,7.347,5.491,7.286,31939834.34,
2022-02-07,7.286,8.553,6.806,6.996,46829019.74,
2022-02-14,6.997,7.725,5.608,5.705,28802027.29,
2022-02-21,5.708,6.109,4.427,5.074,37728026.7,
2022-02-28,5.076,6.19,4.8,4.843,33895684.15,
2022-03-07,4.843,5.202,4.272,4.375,25150568.62,
2022-03-14,4.375,5.419,4.315,4.901,31135072.47,
2022-03-21,4.902,5.733,4.793,5.707,35608078.23,
2022-03-28,5.707,7.106,5.4,6.923,65547737.1,
2022-04-04,6.919,7.17,4.961,4.992,31559332.55,
2022-04-11,4.991,5.076,4.478,4.515,18989295.96,
2022-04-18,4.515,5.196,4.11,4.512,39269617.31,
2022-04-25,4.51,4.625,3.1,3.607,42263499.66,
2022-05-02,3.605,4.03,3.174,3.907,53480318.61,
2022-05-09,3.908,3.979,1.409,2.142,109860868.68,
2022-05-16,2.142,2.143,1.822,1.976,9071489.27,
